IDI_OCCUPATION_CLASS,GENDER,AGE_ATTAINED,BASE_ULTIMATE_CTR
M,F,47,0.013740165
M,F,48,0.013454321
M,F,49,0.013168476
M,F,50,0.012882632
M,F,51,0.012596788
M,F,52,0.012310943
M,F,53,0.012025099
M,F,54,0.011739255
M,F,55,0.01145341
M,F,56,0.011500861
M,F,57,0.011548312
M,F,58,0.011595763
M,F,59,0.011643214
M,F,60,0.011690665
M,F,61,0.011738116
M,F,62,0.011785567
M,F,63,0.01247816
M,F,64,0.013170752
M,F,65,0.013863345
M,F,66,0.015139472
M,F,67,0.016471131
M,F,68,0.018552484
M,F,69,0.020739049
M,F,70,0.023030827
M,F,71,0.025427818
M,F,72,0.027930021
M,F,73,0.031353285
M,F,74,0.03493129
M,F,75,0.038664036
M,F,76,0.041367709
M,F,77,0.044071381
M,F,78,0.047437945
M,F,79,0.051066839
M,F,80,0.055001783
M,F,81,0.05924278
M,F,82,0.063789827
M,F,83,0.0707865
M,F,84,0.0784525
M,F,85,0.0867735
M,F,86,0.09579875
M,F,87,0.10555475
M,F,88,0.11609675
M,F,89,0.1273195
M,F,90,0.13909875
M,F,91,0.1515815
M,F,92,0.1648855
M,F,93,0.1790505
M,F,94,0.194088
M,F,95,0.2100275
M,F,96,0.226891
M,F,97,0.251294
M,F,98,0.2844435
M,F,99,0.31804275
M,F,100,0.35165075
M,F,101,0.3847795
M,F,102,0.4168835
M,F,103,0.44682625
M,F,104,0.47469425
M,F,105,0.497825
M,F,106,0.5133
M,F,107,0.5279875
M,F,108,0.5418
M,F,109,0.55465
M,F,110,0.5625
M,F,111,0.5625
M,F,112,0.5625
M,F,113,0.5625
M,F,114,0.5625
M,F,115,0.5625
M,F,116,0.5625
M,F,117,0.5625
M,F,118,0.5625
M,F,119,0.5625
M,F,120,0.45
M,M,32,0.025643933
M,M,33,0.025855866
M,M,34,0.026067799
M,M,35,0.026385699
M,M,36,0.025751051
M,M,37,0.025116404
M,M,38,0.024481756
M,M,39,0.023847108
M,M,40,0.02321246
M,M,41,0.022577812
M,M,42,0.021943164
M,M,43,0.021308517
M,M,44,0.020673869
M,M,45,0.020039221
M,M,46,0.019770812
M,M,47,0.019502403
M,M,48,0.019233995
M,M,49,0.018965586
M,M,50,0.018697177
M,M,51,0.018428769
M,M,52,0.01816036
M,M,53,0.017891951
M,M,54,0.017623543
M,M,55,0.017355134
M,M,56,0.017495644
M,M,57,0.017636154
M,M,58,0.017776665
M,M,59,0.017917175
M,M,60,0.018057685
M,M,61,0.018198195
M,M,62,0.018338706
M,M,63,0.019197325
M,M,64,0.020055944
M,M,65,0.020914564
M,M,66,0.022646051
M,M,67,0.024446381
M,M,68,0.027007145
M,M,69,0.029686249
M,M,70,0.032483692
M,M,71,0.035399476
M,M,72,0.038433601
M,M,73,0.042384148
M,M,74,0.046501485
M,M,75,0.050785613
M,M,76,0.05369981
M,M,77,0.056614008
M,M,78,0.060679375
M,M,79,0.065610516
M,M,80,0.070692225
M,M,81,0.076112715
M,M,82,0.081984913
M,M,83,0.088271176
M,M,84,0.0963
M,M,85,0.1075555
M,M,86,0.12018825
M,M,87,0.13446375
M,M,88,0.15067025
M,M,89,0.16848325
M,M,90,0.1882675
M,M,91,0.2100855
M,M,92,0.23298525
M,M,93,0.2561775
M,M,94,0.2777895
M,M,95,0.29872375
M,M,96,0.32054625
M,M,97,0.343801
M,M,98,0.370681
M,M,99,0.399282
M,M,100,0.427039
M,M,101,0.452861
M,M,102,0.475696
M,M,103,0.49476375
M,M,104,0.51078925
M,M,105,0.5251055
M,M,106,0.5383
M,M,107,0.5489125
M,M,108,0.5552125
M,M,109,0.560025
M,M,110,0.5625
M,M,111,0.5625
M,M,112,0.5625
M,M,113,0.5625
M,M,114,0.5625
M,M,115,0.5625
M,M,116,0.5625
M,M,117,0.5625
M,M,118,0.5625
M,M,119,0.5625
M,M,120,0.45
